Epochs,data__preprocessed__densenet201-imagenet__time,data__preprocessed__densenet201-imagenet__train_loss,data__preprocessed__densenet201-imagenet__train_accuracy,data__preprocessed__densenet201-imagenet__val_loss,data__preprocessed__densenet201-imagenet__val_accuracy,data__preprocessed__densenet201__time,data__preprocessed__densenet201__train_loss,data__preprocessed__densenet201__train_accuracy,data__preprocessed__densenet201__val_loss,data__preprocessed__densenet201__val_accuracy,data__preprocessed__inception-v3__time,data__preprocessed__inception-v3__train_loss,data__preprocessed__inception-v3__train_accuracy,data__preprocessed__inception-v3__val_loss,data__preprocessed__inception-v3__val_accuracy,data__preprocessed__mario__time,data__preprocessed__mario__train_loss,data__preprocessed__mario__train_accuracy,data__preprocessed__mario__val_loss,data__preprocessed__mario__val_accuracy,data__preprocessed__resnet50__time,data__preprocessed__resnet50__train_loss,data__preprocessed__resnet50__train_accuracy,data__preprocessed__resnet50__val_loss,data__preprocessed__resnet50__val_accuracy,data__preprocessed__xception__time,data__preprocessed__xception__train_loss,data__preprocessed__xception__train_accuracy,data__preprocessed__xception__val_loss,data__preprocessed__xception__val_accuracy,data__raw__densenet201-imagenet__time,data__raw__densenet201-imagenet__train_loss,data__raw__densenet201-imagenet__train_accuracy,data__raw__densenet201-imagenet__val_loss,data__raw__densenet201-imagenet__val_accuracy,,data__raw__densenet201__time,data__raw__densenet201__train_loss,data__raw__densenet201__train_accuracy,data__raw__densenet201__val_loss,data__raw__densenet201__val_accuracy,data__raw__inception-v3__time,data__raw__inception-v3__train_loss,data__raw__inception-v3__train_accuracy,data__raw__inception-v3__val_loss,data__raw__inception-v3__val_accuracy,data__raw__mario__time,data__raw__mario__train_loss,data__raw__mario__train_accuracy,data__raw__mario__val_loss,data__raw__mario__val_accuracy,data__raw__resnet50__time,data__raw__resnet50__train_loss,data__raw__resnet50__train_accuracy,data__raw__resnet50__val_loss,data__raw__resnet50__val_accuracy,data__raw__xception__time,data__raw__xception__train_loss,data__raw__xception__train_accuracy,data__raw__xception__val_loss,data__raw__xception__val_accuracy
32,108s,0.7022,0.7331,1.185,0.6368,114s,0.0714,0.9743,2.8411,0.5792,103s,0.553,0.7967,0.9148,0.7203,105s,0.2209,0.9282,1.4861,0.6968,110s,0.1347,0.9548,1.7486,0.6324,116s,0.0574,0.9796,1.4849,0.7376,140s,0.931,0.6495,1.3884,0.5794,,156s,0.07,0.9752,2.0253,0.6526,136s,1.753,0.3169,1.7003,0.3294,139s,0.1554,0.948,2.2484,0.5509,151s,0.0674,0.9768,2.4561,0.5788,150s,0.03,0.9907,2.1794,0.6396
33,109s,0.7066,0.7322,1.141,0.651,113s,0.0481,0.9833,4.9498,0.5272,102s,1.1475,0.6072,1.9582,0.4394,106s,0.2025,0.9323,1.4791,0.7098,109s,0.0526,0.9819,2.2577,0.6182,113s,0.0671,0.9785,1.4922,0.7147,140s,0.9156,0.6545,1.3816,0.5751,,158s,0.0593,0.9794,2.0236,0.634,137s,1.7473,0.3147,1.9136,0.3182,142s,0.1417,0.953,2.056,0.5825,151s,0.0714,0.9745,2.6449,0.5279,151s,0.0471,0.9847,2.3393,0.6191
34,108s,0.7169,0.7277,1.1771,0.6429,113s,0.0678,0.9763,1.1007,0.745,102s,0.9357,0.6639,0.8419,0.6937,105s,0.198,0.9357,1.4571,0.7079,109s,0.0563,0.982,1.6786,0.6627,118s,0.0416,0.9871,1.3479,0.7444,140s,0.9236,0.6515,1.4375,0.5552,,156s,0.0678,0.9774,1.883,0.6712,136s,1.7755,0.3167,4.457,0.2593,139s,0.1312,0.9547,2.3885,0.5744,149s,0.0767,0.9743,2.9974,0.5676,150s,0.0493,0.9843,3.0825,0.4969
35,109s,0.7144,0.7302,1.1614,0.6498,115s,0.0413,0.9858,1.1249,0.7785,103s,0.6814,0.7487,0.7944,0.7061,104s,0.2045,0.9316,1.4125,0.7209,110s,0.0579,0.9811,1.7112,0.685,115s,0.0398,0.9868,1.4578,0.7519,139s,0.9171,0.655,1.4724,0.5509,,157s,0.0819,0.9706,1.8945,0.6582,137s,1.8193,0.3011,3.2333,0.2636,139s,0.1443,0.9526,2.4433,0.5689,150s,0.0644,0.9776,2.6038,0.5676,150s,0.0605,0.9803,1.8106,0.6042
36,108s,0.7135,0.7309,1.2913,0.6262,114s,0.0493,0.9823,2.7318,0.6114,102s,0.7141,0.7444,1.0079,0.6312,105s,0.2034,0.9344,1.2659,0.6925,111s,0.0733,0.9754,2.2242,0.5922,118s,0.0358,0.9883,1.5334,0.6943,139s,0.9387,0.653,1.4008,0.5707,,157s,0.0805,0.9721,3.1776,0.5056,137s,1.8492,0.2832,2.0837,0.2798,140s,0.1345,0.9557,2.042,0.5837,151s,0.0559,0.9813,2.4185,0.58,150s,0.0576,0.9803,2.947,0.6024
37,108s,0.7133,0.7297,1.2499,0.6374,115s,0.052,0.9837,1.993,0.6547,103s,0.5502,0.7956,0.9889,0.6652,106s,0.1877,0.9382,1.6685,0.6757,110s,0.0851,0.9709,4.4108,0.4295,118s,0.0577,0.9826,2.6125,0.6386,140s,0.9342,0.6518,1.4383,0.5571,,157s,0.0671,0.9771,2.0327,0.6439,138s,1.8178,0.3026,5.7525,0.2351,139s,0.1144,0.962,2.3329,0.5806,149s,0.2181,0.9302,1.9871,0.5496,151s,0.0452,0.9846,2.3527,0.6005
38,109s,0.7017,0.7369,1.1893,0.6504,115s,0.0589,0.9788,1.3056,0.7432,103s,0.4955,0.8176,0.8401,0.7172,105s,0.1734,0.9417,1.4577,0.7141,111s,0.1107,0.9625,2.1224,0.6033,115s,0.0531,0.982,2.4998,0.5402,139s,0.9233,0.6561,1.4893,0.5614,,157s,0.0553,0.9806,1.8473,0.6799,138s,1.834,0.3039,2.1731,0.2922,140s,0.1332,0.9571,2.2757,0.5521,148s,0.0442,0.9862,2.6009,0.5602,150s,0.0426,0.9863,1.8026,0.6538
39,109s,0.7232,0.7274,1.1983,0.6442,116s,0.0606,0.9792,1.2383,0.7506,103s,0.4118,0.8488,0.9705,0.6801,104s,0.1669,0.9485,1.4394,0.7153,113s,0.0479,0.9828,3.9554,0.5012,113s,0.0295,0.9899,1.5297,0.6993,140s,0.9325,0.6509,1.4509,0.567,,157s,0.052,0.9828,1.9131,0.6588,137s,1.8318,0.297,2.841,0.2891,140s,0.1338,0.9567,2.209,0.572,147s,0.0196,0.9929,3.4256,0.523,150s,0.0384,0.9877,2.5403,0.6067
40,108s,0.704,0.7319,1.2751,0.6194,115s,0.0296,0.9907,1.427,0.7222,102s,0.3654,0.8671,0.8427,0.7178,106s,0.1716,0.9456,1.6049,0.7042,112s,0.037,0.9881,1.9954,0.651,110s,0.0292,0.9897,2.0462,0.625,138s,0.9213,0.6531,1.4514,0.5552,,158s,0.0524,0.9817,1.5838,0.6811,136s,1.8307,0.2864,9.4795,0.2897,139s,0.119,0.9613,2.3237,0.5788,146s,0.0425,0.9846,2.7525,0.5862,149s,0.0453,0.9852,2.2465,0.6278
41,108s,0.696,0.7335,1.2415,0.633,116s,0.0446,0.9833,2.2675,0.6095,104s,0.3229,0.8853,0.9714,0.7085,106s,0.1685,0.9475,1.7612,0.7172,112s,0.0594,0.9814,1.6312,0.6986,111s,0.0405,0.986,1.2566,0.7067,138s,0.9203,0.6513,1.4844,0.554,,158s,0.0563,0.981,1.6626,0.6935,138s,1.7984,0.2883,2.4758,0.2847,138s,0.1255,0.9581,2.4284,0.5732,148s,0.0544,0.9814,2.4654,0.5806,149s,0.0403,0.9865,2.3616,0.6172
